layer,rank,expert,macro_reap,reap_analects,reap_bible,reap_bofm,reap_dhamma,reap_gita,reap_quran,reap_tao,reap_upanishads
30,6,84,4.7618,5.6787,4.6593,4.8589,3.6724,4.4829,4.2271,5.4838,5.0308
30,7,66,4.5566,3.9458,5.0412,6.1247,3.6692,6.1831,3.9604,3.7846,3.7437
30,8,58,4.314,5.2735,4.5042,4.7044,2.7829,3.9698,3.4709,4.8934,4.9133
30,9,74,4.3109,4.3977,4.5997,5.1782,3.2732,4.1426,3.5582,4.45,4.8879
30,10,62,4.2983,5.0028,4.3458,4.2371,4.7,4.6485,3.0349,3.9591,4.4582
30,11,113,4.2482,4.2535,5.374,4.8977,3.6796,3.799,3.9285,3.3896,4.6639
30,12,47,4.1455,4.5189,3.2471,3.6057,4.7748,3.9172,4.472,5.4396,3.1886
30,13,37,3.8386,3.299,5.1717,4.3203,2.6786,4.8416,2.1425,5.6487,2.6062
30,14,106,3.7811,4.7492,1.177,5.6466,1.3496,3.9648,4.6851,2.1009,6.5753
30,15,8,3.7126,3.8559,4.2401,5.3762,2.6268,3.0718,3.3968,3.2482,3.885
30,16,0,nan,0.8774,1.6182,nan,0.1781,0.2132,nan,0.2431,2.0658
30,17,1,nan,1.7976,1.9115,nan,0.8713,0.3992,nan,0.4014,1.4691
30,18,2,nan,2.2041,2.1208,nan,2.8389,2.3875,nan,4.6169,2.8716
30,19,3,nan,1.5726,2.4693,nan,0.8022,0.8903,nan,1.6003,1.5205
30,20,4,nan,0.9279,1.7458,nan,0.5031,0.6465,nan,0.2061,1.621
31,1,182,15.1486,2.266,2.4254,3.5389,91.1516,16.0061,1.9999,2.232,1.569
31,2,117,9.4739,11.6785,10.6508,9.835,9.681,7.6601,10.7893,7.6486,7.8476
31,3,52,5.8438,7.5869,4.7997,4.2988,7.6711,4.618,6.2206,5.1907,6.3642
31,4,8,4.6501,6.3107,5.9156,5.2933,4.6965,2.884,5.3066,1.8587,4.9357
31,5,0,nan,2.5454,2.9855,nan,2.7868,3.3288,nan,1.9416,3.949
31,6,1,nan,1.3222,1.3845,nan,0.8418,0.6168,nan,0.3868,1.3728
31,7,2,nan,1.4465,1.2933,nan,0.6845,1.1495,nan,0.2024,1.6238
31,8,3,nan,3.9087,1.3983,nan,0.2426,0.7718,nan,0.0926,2.4188
31,9,4,nan,2.7823,1.8094,nan,1.3933,2.4141,nan,0.4961,1.6671
31,10,5,nan,1.7839,1.121,nan,0.2976,0.3756,nan,0.3351,1.1059
31,11,27,15.314,44.7311,16.0353,4.0822,17.9966,23.959,9.3283,0.8109,5.5688
31,12,204,13.1006,14.1449,13.0293,12.3557,13.6918,12.933,12.4229,11.6744,14.5529
31,13,143,12.4638,9.4259,12.7755,14.2462,11.3126,11.8377,12.4463,16.8037,10.8626
31,14,177,10.6116,16.7905,8.5013,7.6969,14.2435,7.745,10.8633,5.9633,13.0889
31,15,13,7.6193,8.7162,3.9268,4.4268,5.7605,9.3942,8.6353,9.0684,11.0262
31,16,172,7.3972,8.9004,7.7694,6.4405,7.8279,5.8046,8.2802,7.1726,6.9824
31,17,116,6.7986,8.1829,6.5496,6.5139,6.2484,5.5075,6.9397,6.2282,8.2189
31,18,20,6.5025,2.5792,15.2479,13.2271,4.0904,2.4424,8.58,2.5106,3.3426
31,19,15,6.47,7.3788,5.7663,5.995,6.1983,5.8645,6.9054,6.2816,7.3699
31,20,211,6.2964,6.5476,5.3387,4.7696,7.2906,5.3081,6.9247,6.892,7.2996
32,1,216,1856.1725,2147.4035,1241.4146,268.5918,2838.1783,1898.3115,2122.1933,3767.3364,565.9506
32,2,82,7.2229,1.7584,16.2546,17.8471,1.6618,1.0431,2.1326,2.1577,14.9276
32,3,91,6.2339,3.2372,5.1213,5.2966,9.5045,6.2201,4.7396,3.6346,12.1173
32,4,45,5.8416,3.9885,5.7005,6.7603,7.1331,6.0121,5.2081,4.3147,7.6156
32,5,89,5.4509,2.4075,18.0591,9.8121,3.1448,1.4671,3.4405,2.0962,3.1801
32,6,103,5.4276,6.2828,4.34,7.1048,5.9241,5.0243,4.2791,2.9201,7.546
